blockchain_index,blockchain_timestamp,event_id,device_id,rfid,source_timestamp,checkpoint,action,driver,vehicle,latitude,longitude,temperature_c,humidity_percent,shock_g_force,battery_percent,speed_kmh,fuel_percent,signal,anomaly
0,2026-06-14 23:19:15,1,PH-DAV-2026-0001,inf,2026-05-09 20:45:00,WAREHOUSE_PICKUP,PICKUP,Miguel Rodriguez,SUB-5678,13.462483,123.262439,6.8,59.4,0.33,80,60,65,NONE,CONNECTION_LOST
1,2026-06-14 23:19:15,2,PH-DAV-2026-0001,inf,2026-05-09 21:04:00,SLEX_TOLL,TOLL_PASS,Miguel Rodriguez,SUB-5678,13.335912,123.301817,10.0,69.8,0.36,80,15,95,GOOD,NORMAL
2,2026-06-14 23:19:15,3,PH-DAV-2026-0001,inf,2026-05-09 21:39:00,RIDER_HANDHELD,ASSIGN,Miguel Rodriguez,SUB-5678,13.387291,123.305393,10.2,59.8,0.67,78,30,80,NONE,CONNECTION_LOST
3,2026-06-14 23:19:15,4,PH-DAV-2026-0001,inf,2026-05-09 22:43:00,DOORSTEP_ePOD,DELIVERY,Miguel Rodriguez,SUB-5678,13.438701,123.171442,7.6,62.6,0.69,88,60,95,FAIR,NORMAL
4,2026-06-14 23:19:15,5,PH-DAV-2026-0002,inf,2026-05-09 20:45:00,WAREHOUSE_PICKUP,PICKUP,Antonio Fernandez,CDO-5432,9.803495,118.662055,6.2,45.1,0.76,92,70,65,WEAK,NORMAL
5,2026-06-14 23:19:16,6,PH-DAV-2026-0002,inf,2026-05-09 21:04:00,SLEX_TOLL,TOLL_PASS,Antonio Fernandez,CDO-5432,9.782964,118.808459,6.5,67.0,0.45,76,15,80,FAIR,NORMAL
6,2026-06-14 23:19:16,7,PH-DAV-2026-0002,inf,2026-05-09 21:39:00,RIDER_HANDHELD,ASSIGN,Antonio Fernandez,CDO-5432,9.753153,118.677284,2.8,51.3,4.68,84,70,80,EXCELLENT,TEMP_EXCURSION|SHOCK_DETECTED
7,2026-06-14 23:19:16,8,PH-DAV-2026-0002,inf,2026-05-09 22:43:00,DOORSTEP_ePOD,DELIVERY,Antonio Fernandez,CDO-5432,9.847365,118.668941,5.6,63.3,4.22,80,60,95,EXCELLENT,SHOCK_DETECTED
8,2026-06-14 23:19:16,9,PH-PAL-2026-0003,inf,2026-05-09 20:45:00,WAREHOUSE_PICKUP,PICKUP,Antonio Fernandez,CDO-5432,10.799914,122.502995,12.5,61.9,0.22,94,30,35,WEAK,TEMP_EXCURSION
9,2026-06-14 23:19:16,10,PH-PAL-2026-0003,inf,2026-05-09 21:04:00,SLEX_TOLL,TOLL_PASS,Antonio Fernandez,CDO-5432,10.676236,122.584867,6.4,69.7,0.43,86,10,50,WEAK,NORMAL
